Skills,Tools,Interest,Education Level,Years of Experience,Recommended Career
"Spark, Machine Learning, Data Analysis, Azure, AWS","GitLab, Kubernetes",Data Science,Graduate,3,Data Analyst
"Hadoop, Python, PyTorch, AWS, Statistics","Docker, Figma, AWS EC2",Cloud,Postgraduate,6,DevOps Engineer
"Figma, Spark, AWS, Python, Git, Tableau, JavaScript","AWS EC2, GitLab, Google Cloud",Cybersecurity,Graduate,10,Cybersecurity Analyst
"PyTorch, Figma, SQL, TensorFlow","Kubernetes, VS Code, Jira",Web Development,Undergraduate,7,Backend Developer
"Git, Python, Tableau, Linux, HTML, Deep Learning","Google Cloud, AWS EC2, Docker",Web Development,Undergraduate,8,Backend Developer
"UI/UX, Machine Learning, Hadoop, TensorFlow, Kubernetes","Figma, PyCharm, Postman",Cybersecurity,Postgraduate,0,Security Engineer
"Deep Learning, Cybersecurity, Node.js, Docker, PyTorch","Kubernetes, Google Cloud, Jira, GitLab",Design,Graduate,3,UI/UX Designer
"Cybersecurity, Machine Learning, JavaScript, REST APIs, Power BI","GitHub, Docker, Postman",Web Development,Postgraduate,9,Backend Developer
"Linux, TensorFlow, React, Node.js, Spark, SQL, Docker","VS Code, Google Cloud, PyCharm",Design,Undergraduate,4,UI/UX Designer
"Figma, Embedded Systems, TensorFlow, Cybersecurity, Docker","Google Cloud, VS Code, Docker, Figma",Design,Undergraduate,6,UI/UX Designer
"Cybersecurity, CSS, HTML, REST APIs","VS Code, Jupyter",Web Development,Postgraduate,4,Backend Developer
"Data Analysis, React, JavaScript, REST APIs, Python","GitHub, Docker, Figma, Google Cloud",Web Development,Postgraduate,5,Backend Developer
"Azure, Machine Learning, Docker, Hadoop, Cybersecurity, CSS, C++","VS Code, Azure Portal, PyCharm",Design,Graduate,5,UI/UX Designer
"Azure, Power BI, Figma, UI/UX, Linux, Embedded Systems, JavaScript","GitLab, Jupyter, Azure Portal",Cloud,Postgraduate,2,Cloud Engineer
"NLP, UI/UX, Hadoop, Node.js, Data Analysis, JavaScript, Spark","Azure Portal, Kubernetes",Design,Undergraduate,4,UI/UX Designer
"Azure, Machine Learning, Java, UI/UX","VS Code, Azure Portal, Kubernetes",Cybersecurity,Undergraduate,7,Cybersecurity Analyst
"UI/UX, PyTorch, AWS, Python, Node.js","Docker, Google Cloud",Cloud,Graduate,2,DevOps Engineer
"C++, JavaScript, Statistics, Spark","AWS EC2, VS Code, Docker, Figma",IoT,Postgraduate,4,Embedded Systems Engineer
"HTML, CSS, Git, REST APIs, Tableau, Deep Learning, Linux","Jira, Kubernetes, AWS EC2",Design,Undergraduate,4,UI/UX Designer
"Python, Embedded Systems, Docker, Spark, Tableau","Figma, Postman, GitLab, Kubernetes",IoT,Postgraduate,10,Embedded Systems Engineer
"JavaScript, Hadoop, Cybersecurity, Docker, TensorFlow, HTML, UI/UX","Google Cloud, GitHub, Kubernetes, Azure Portal",Cloud,Postgraduate,4,DevOps Engineer
"Data Analysis, Azure, AWS, JavaScript, Git","AWS EC2, Google Cloud, Jira",Cybersecurity,Graduate,8,Security Engineer
"Docker, Spark, Machine Learning, HTML, Networking","Azure Portal, GitLab, GitHub",Data Science,Undergraduate,5,Data Analyst
"Linux, Tableau, Azure, Java, HTML, AWS, JavaScript","Azure Portal, Jupyter, Kubernetes",Cloud,Postgraduate,10,DevOps Engineer
"Java, Node.js, Networking, Machine Learning, Cybersecurity, Data Analysis, Git","Docker, AWS EC2, VS Code",Design,Graduate,2,UI/UX Designer
"Hadoop, Linux, PyTorch, Git, Embedded Systems, TensorFlow, Data Analysis","VS Code, Figma, AWS EC2, PyCharm",IoT,Postgraduate,3,Embedded Systems Engineer
"Embedded Systems, Azure, AWS, HTML, Deep Learning, Tableau","GitHub, GitLab, Kubernetes",AI/ML,Graduate,3,AI Engineer
"Linux, JavaScript, PyTorch, Power BI","Azure Portal, PyCharm",AI/ML,Graduate,6,Machine Learning Engineer
"Hadoop, JavaScript, Spark, Java","Figma, Jupyter, AWS EC2, Google Cloud",IoT,Undergraduate,7,Embedded Systems Engineer
"React, Networking, Figma, Machine Learning","Azure Portal, Docker",Cybersecurity,Graduate,5,Security Engineer
"Hadoop, C++, Git, HTML","GitLab, VS Code, GitHub",IoT,Graduate,0,Embedded Systems Engineer
"Hadoop, AWS, Spark, Cybersecurity","GitHub, PyCharm, Postman, Jira",Cloud,Graduate,10,DevOps Engineer
"Figma, HTML, Azure, Python","Azure Portal, Postman",IoT,Graduate,1,Embedded Systems Engineer
"C++, Deep Learning, REST APIs, JavaScript","Kubernetes, Azure Portal, Google Cloud, Postman",Cybersecurity,Postgraduate,5,Security Engineer
"Power BI, TensorFlow, Azure, Tableau, Networking, Hadoop, Python","GitHub, Docker, Google Cloud",Design,Graduate,0,UI/UX Designer
"SQL, Networking, Machine Learning, C++, Azure, PyTorch","Azure Portal, VS Code",Web Development,Postgraduate,7,Backend Developer
"Statistics, HTML, PyTorch, Data Analysis, Kubernetes, Python, Figma","Figma, Kubernetes",Cybersecurity,Graduate,7,Cybersecurity Analyst
"NLP, Spark, Git, Tableau, Data Analysis, Hadoop","PyCharm, GitLab, Google Cloud",AI/ML,Undergraduate,3,AI Engineer
"Statistics, REST APIs, Figma, Hadoop, Spark, NLP, Git","Google Cloud, Figma, Jira, Azure Portal",AI/ML,Graduate,8,Machine Learning Engineer
"Hadoop, Node.js, Power BI, Java, Embedded Systems, TensorFlow","PyCharm, GitHub",Cloud,Postgraduate,0,Cloud Engineer
"Tableau, NLP, Hadoop, Node.js","GitLab, Kubernetes, Figma, PyCharm",Web Development,Undergraduate,0,Backend Developer
"CSS, TensorFlow, Networking, Deep Learning, C++, Docker","GitHub, PyCharm, GitLab, Jupyter",Web Development,Postgraduate,2,Frontend Developer
"Figma, NLP, CSS, Kubernetes, Hadoop","Figma, Kubernetes",IoT,Postgraduate,0,Embedded Systems Engineer
"Deep Learning, Azure, Machine Learning, PyTorch","Figma, Jira, Postman, Jupyter",Cloud,Postgraduate,7,Cloud Engineer
"Power BI, AWS, JavaScript, Docker, PyTorch, React, SQL","Kubernetes, Jupyter, Docker",Cybersecurity,Undergraduate,5,Security Engineer
"Kubernetes, TensorFlow, AWS, Java, Azure, Power BI, Tableau","Azure Portal, Jira, GitLab, GitHub",Web Development,Postgraduate,3,Backend Developer
"Embedded Systems, AWS, Networking, Python, Machine Learning","Jira, AWS EC2",Web Development,Graduate,3,Frontend Developer
"Kubernetes, JavaScript, Node.js, React, Linux","Figma, Kubernetes",Design,Undergraduate,8,UI/UX Designer
"Linux, Node.js, Azure, Hadoop, Machine Learning","Figma, Jupyter",Cybersecurity,Postgraduate,4,Cybersecurity Analyst
"Machine Learning, Power BI, C++, NLP, Spark, Python","GitLab, Jira, VS Code, Google Cloud",Web Development,Undergraduate,9,Frontend Developer
"Docker, Embedded Systems, Azure, Deep Learning, REST APIs","Azure Portal, AWS EC2",Cybersecurity,Postgraduate,6,Security Engineer
"REST APIs, Deep Learning, Cybersecurity, JavaScript, Spark, Tableau","GitLab, Jira",Cloud,Graduate,4,Cloud Engineer
"CSS, Statistics, Kubernetes, Java, PyTorch","PyCharm, Docker, Kubernetes, AWS EC2",Data Science,Undergraduate,8,Data Analyst
"JavaScript, Kubernetes, Python, Spark, React, Hadoop, Azure","Postman, Docker, AWS EC2, Jupyter",Cybersecurity,Graduate,4,Cybersecurity Analyst
"Python, NLP, REST APIs, UI/UX, TensorFlow, Java, Node.js","Google Cloud, Jira, AWS EC2",Design,Graduate,5,UI/UX Designer
"Statistics, AWS, Hadoop, Node.js","Google Cloud, Postman, Azure Portal",Cloud,Undergraduate,5,DevOps Engineer
"PyTorch, AWS, Data Analysis, UI/UX, SQL, Hadoop, Networking","PyCharm, VS Code",Cybersecurity,Postgraduate,7,Security Engineer
"Node.js, Spark, NLP, UI/UX, Embedded Systems, Cybersecurity","Postman, AWS EC2, Kubernetes, GitLab",AI/ML,Undergraduate,10,AI Engineer
"React, Git, Cybersecurity, JavaScript, Kubernetes","Azure Portal, Jira",Cybersecurity,Postgraduate,9,Cybersecurity Analyst
"React, Spark, REST APIs, Cybersecurity, UI/UX","VS Code, AWS EC2, Jira",Design,Postgraduate,3,UI/UX Designer
"Kubernetes, AWS, Linux, CSS","Docker, Figma",Web Development,Undergraduate,8,Frontend Developer
"Networking, Statistics, REST APIs, AWS, Power BI, Cybersecurity","PyCharm, GitHub, Jupyter",Cybersecurity,Postgraduate,5,Cybersecurity Analyst
"Networking, HTML, Figma, REST APIs, Node.js, SQL","VS Code, Google Cloud, GitHub, AWS EC2",IoT,Postgraduate,6,Embedded Systems Engineer
"Kubernetes, Tableau, Networking, Deep Learning, SQL","GitHub, GitLab, Google Cloud",IoT,Undergraduate,9,Embedded Systems Engineer
"Figma, Python, Data Analysis, HTML, Networking, Git, Cybersecurity","Kubernetes, Azure Portal",Design,Undergraduate,1,UI/UX Designer
"Kubernetes, Cybersecurity, SQL, Docker, Data Analysis, CSS, Spark","Google Cloud, Jira",Cloud,Undergraduate,0,DevOps Engineer
"Linux, React, C++, Python, Kubernetes","Postman, Figma, Google Cloud, Kubernetes",Data Science,Undergraduate,5,Data Analyst
"Networking, Cybersecurity, TensorFlow, C++, AWS, Git, UI/UX","AWS EC2, PyCharm",Design,Graduate,7,UI/UX Designer
"JavaScript, C++, Spark, Kubernetes","Postman, PyCharm, Kubernetes, Docker",Web Development,Postgraduate,10,Frontend Developer
"REST APIs, Networking, NLP, SQL, Tableau, Linux","Kubernetes, AWS EC2, GitLab, GitHub",Web Development,Undergraduate,5,Backend Developer
"Cybersecurity, CSS, Statistics, React, SQL, NLP, C++","Docker, Figma, VS Code",Data Science,Undergraduate,4,Data Analyst
"Git, React, HTML, Java, Python, Networking, Deep Learning","Figma, PyCharm, GitHub",AI/ML,Postgraduate,8,Machine Learning Engineer
"Deep Learning, Java, Tableau, Figma","Google Cloud, Docker",Web Development,Graduate,4,Frontend Developer
"TensorFlow, Kubernetes, Embedded Systems, React, JavaScript, UI/UX","Kubernetes, Postman, PyCharm, AWS EC2",IoT,Undergraduate,3,Embedded Systems Engineer
"REST APIs, Tableau, Docker, UI/UX, Spark, Linux, Node.js","VS Code, Jira, AWS EC2",Web Development,Undergraduate,0,Backend Developer
"Data Analysis, AWS, TensorFlow, Kubernetes, Statistics, Hadoop, Figma","VS Code, Google Cloud",Data Science,Postgraduate,7,Data Analyst
"Cybersecurity, Docker, Machine Learning, Spark, Embedded Systems","Google Cloud, VS Code, Kubernetes",Cloud,Undergraduate,10,Cloud Engineer
"Git, Docker, REST APIs, NLP, SQL","Kubernetes, GitHub, PyCharm, AWS EC2",IoT,Graduate,3,Embedded Systems Engineer
"UI/UX, Machine Learning, TensorFlow, Cybersecurity, Azure, Deep Learning","Figma, Google Cloud",Cybersecurity,Undergraduate,7,Cybersecurity Analyst
"Deep Learning, SQL, REST APIs, UI/UX, Azure","VS Code, Jupyter, Figma",Data Science,Postgraduate,7,Data Analyst
"PyTorch, Networking, Machine Learning, Azure, UI/UX, Git, Spark","GitLab, Kubernetes",Web Development,Undergraduate,9,Backend Developer
"Networking, React, Cybersecurity, Node.js","Google Cloud, VS Code",Design,Postgraduate,5,UI/UX Designer
"AWS, SQL, Networking, PyTorch, Power BI, CSS","GitHub, GitLab, PyCharm, Postman",Data Science,Postgraduate,6,Data Analyst
"Node.js, C++, Tableau, Kubernetes, NLP","GitHub, Docker, VS Code",IoT,Postgraduate,5,Embedded Systems Engineer
"C++, Cybersecurity, TensorFlow, Python","Google Cloud, Jupyter, GitHub, Azure Portal",Web Development,Graduate,3,Backend Developer
"Deep Learning, Cybersecurity, Node.js, JavaScript, SQL, TensorFlow","Jupyter, Google Cloud, Postman",AI/ML,Graduate,5,AI Engineer
"CSS, REST APIs, Hadoop, TensorFlow, Data Analysis, Power BI, Machine Learning","AWS EC2, GitLab",IoT,Undergraduate,4,Embedded Systems Engineer
"PyTorch, Java, Azure, Spark","Azure Portal, Postman, Google Cloud, VS Code",Cybersecurity,Graduate,4,Cybersecurity Analyst
"Cybersecurity, Power BI, Hadoop, Python","PyCharm, Jira, Figma",Cybersecurity,Postgraduate,7,Cybersecurity Analyst
"Tableau, Figma, Machine Learning, PyTorch","PyCharm, AWS EC2, Azure Portal, Kubernetes",Data Science,Postgraduate,5,Data Scientist
"Networking, C++, Cybersecurity, REST APIs, Power BI, NLP","VS Code, Azure Portal, Figma, Docker",Design,Postgraduate,2,UI/UX Designer
"Spark, C++, REST APIs, React, Java, Python, PyTorch","Kubernetes, VS Code, Docker",Web Development,Undergraduate,3,Frontend Developer
"Hadoop, REST APIs, HTML, Azure, React","Docker, GitHub, GitLab",AI/ML,Postgraduate,3,AI Engineer
"React, Machine Learning, Spark, C++, AWS","Jupyter, Figma, Google Cloud",AI/ML,Graduate,8,AI Engineer
"Cybersecurity, REST APIs, Embedded Systems, Networking, Deep Learning, Java","Docker, Google Cloud",Cloud,Undergraduate,0,DevOps Engineer
"Docker, React, Deep Learning, TensorFlow, Networking, Data Analysis","Azure Portal, Google Cloud, PyCharm",AI/ML,Graduate,8,AI Engineer
"React, Docker, Cybersecurity, Git, C++, Machine Learning, Hadoop","PyCharm, GitHub",Design,Undergraduate,10,UI/UX Designer
"Deep Learning, AWS, Kubernetes, TensorFlow, Tableau","GitHub, GitLab",Web Development,Graduate,9,Frontend Developer
"Git, Kubernetes, Azure, Embedded Systems, Python","GitHub, Azure Portal",Web Development,Graduate,1,Frontend Developer
"HTML, SQL, NLP, Figma, JavaScript, Networking, Node.js","Docker, GitLab",Web Development,Graduate,3,Backend Developer
"Hadoop, Python, Embedded Systems, JavaScript","Figma, GitHub, Google Cloud, PyCharm",Data Science,Undergraduate,7,Data Scientist
"Kubernetes, Cybersecurity, Spark, Power BI, UI/UX","Jupyter, Figma, Postman, Jira",AI/ML,Postgraduate,6,AI Engineer
"Tableau, Git, Linux, AWS, Python","Google Cloud, Kubernetes, PyCharm",Cybersecurity,Undergraduate,1,Cybersecurity Analyst
"Data Analysis, Git, Docker, Azure, Power BI, Linux, React","Postman, AWS EC2",AI/ML,Undergraduate,10,Machine Learning Engineer
"Linux, HTML, Tableau, Deep Learning, REST APIs","Jira, GitHub",Cloud,Undergraduate,7,Cloud Engineer
"Kubernetes, TensorFlow, Figma, Deep Learning, Docker, Git","Docker, Postman, GitHub",Data Science,Graduate,5,Data Analyst
"Python, Azure, Networking, Hadoop, Data Analysis, Node.js","AWS EC2, Google Cloud, Figma",AI/ML,Postgraduate,8,AI Engineer
"CSS, Machine Learning, Docker, Node.js, Azure","VS Code, GitLab",Web Development,Undergraduate,3,Frontend Developer
"C++, Git, Azure, HTML","GitHub, PyCharm, Jira, Postman",Design,Postgraduate,1,UI/UX Designer
"Git, Docker, Machine Learning, Azure, CSS, Python, AWS","Kubernetes, PyCharm",AI/ML,Undergraduate,4,AI Engineer
"HTML, CSS, Cybersecurity, Data Analysis, Tableau, UI/UX, Hadoop","AWS EC2, Docker",Cybersecurity,Postgraduate,2,Security Engineer
"Cybersecurity, Networking, Figma, React, Statistics, C++","Postman, Kubernetes, Google Cloud, PyCharm",IoT,Undergraduate,8,Embedded Systems Engineer
"Node.js, SQL, REST APIs, AWS","PyCharm, Postman, GitHub, Azure Portal",Cybersecurity,Postgraduate,10,Security Engineer
"Cybersecurity, Azure, Java, PyTorch, REST APIs, Figma, Tableau","AWS EC2, Postman",Cybersecurity,Graduate,2,Security Engineer
"Embedded Systems, Hadoop, Docker, AWS, Machine Learning","Azure Portal, GitLab",Cloud,Undergraduate,3,DevOps Engineer
"SQL, Deep Learning, PyTorch, Python, Kubernetes","Azure Portal, VS Code",Design,Postgraduate,7,UI/UX Designer
"Azure, UI/UX, Cybersecurity, Networking, JavaScript","GitHub, Kubernetes, PyCharm, GitLab",AI/ML,Graduate,3,Machine Learning Engineer
"Figma, HTML, PyTorch, Networking, React, Tableau, Python","AWS EC2, Jira, PyCharm, Azure Portal",Web Development,Graduate,3,Frontend Developer
"Docker, JavaScript, Linux, Tableau, AWS, Node.js","GitHub, Google Cloud",Cloud,Undergraduate,8,DevOps Engineer
"Hadoop, TensorFlow, REST APIs, Kubernetes, React","Google Cloud, Postman, PyCharm, Jupyter",IoT,Graduate,5,Embedded Systems Engineer
"Figma, UI/UX, PyTorch, Power BI","Google Cloud, VS Code, GitHub",Web Development,Postgraduate,9,Backend Developer
"Embedded Systems, Cybersecurity, CSS, Spark, Power BI","Kubernetes, Google Cloud",Design,Postgraduate,7,UI/UX Designer
"Statistics, UI/UX, SQL, Machine Learning","Docker, GitLab",IoT,Graduate,6,Embedded Systems Engineer
"SQL, Cybersecurity, React, Embedded Systems, TensorFlow, Kubernetes","VS Code, GitHub, PyCharm, Postman",Cybersecurity,Postgraduate,5,Security Engineer
"Networking, Kubernetes, Spark, Hadoop, HTML, Cybersecurity","Kubernetes, Jira",Cloud,Undergraduate,5,Cloud Engineer
"Statistics, NLP, Networking, Figma, Power BI, Machine Learning","Jupyter, Postman, Docker, AWS EC2",Data Science,Postgraduate,5,Data Scientist
"HTML, AWS, PyTorch, Networking, Tableau, UI/UX","GitHub, AWS EC2, Jira, Kubernetes",Web Development,Undergraduate,8,Frontend Developer
"PyTorch, Embedded Systems, UI/UX, Hadoop, JavaScript","GitLab, Docker, Figma",Cloud,Postgraduate,10,DevOps Engineer
"SQL, Kubernetes, C++, Cybersecurity, HTML, Statistics","GitHub, GitLab, Azure Portal",Design,Graduate,10,UI/UX Designer
"CSS, Machine Learning, Statistics, Data Analysis, REST APIs","VS Code, Azure Portal, AWS EC2",Cloud,Postgraduate,2,Cloud Engineer
"Git, C++, React, UI/UX, Networking, REST APIs","Azure Portal, Jupyter, GitLab",Design,Graduate,4,UI/UX Designer
"Figma, Node.js, Embedded Systems, Data Analysis, Java","Azure Portal, Kubernetes",Web Development,Undergraduate,9,Backend Developer
"REST APIs, Hadoop, SQL, Networking, Kubernetes, Power BI, AWS","Postman, GitLab, GitHub, Jira",Cloud,Postgraduate,6,DevOps Engineer
"React, Hadoop, Data Analysis, Networking","AWS EC2, GitLab, Docker",Cloud,Undergraduate,0,DevOps Engineer
"AWS, Statistics, PyTorch, Data Analysis","Kubernetes, Docker, GitLab, Azure Portal",Web Development,Graduate,10,Backend Developer
"Git, Linux, HTML, REST APIs","Figma, AWS EC2",Cloud,Undergraduate,8,DevOps Engineer
"PyTorch, Statistics, Git, Java","Docker, Jupyter",Data Science,Graduate,3,Data Scientist
"Data Analysis, Power BI, React, Kubernetes, Embedded Systems, Linux, Cybersecurity","Google Cloud, AWS EC2, Kubernetes, Figma",Cybersecurity,Postgraduate,3,Security Engineer
"JavaScript, React, HTML, Docker, Networking","PyCharm, VS Code, Postman, AWS EC2",Cloud,Undergraduate,4,Cloud Engineer
"Data Analysis, C++, UI/UX, JavaScript, PyTorch, CSS","Docker, PyCharm, Jira",Cybersecurity,Undergraduate,9,Security Engineer
"Java, Networking, C++, Deep Learning, Machine Learning, Kubernetes","Jupyter, Kubernetes, Docker",Cloud,Undergraduate,2,DevOps Engineer
"Kubernetes, Power BI, C++, SQL","GitHub, Jupyter, Jira, VS Code",Cloud,Postgraduate,9,DevOps Engineer
"JavaScript, React, UI/UX, Power BI, Machine Learning, Data Analysis","Postman, Google Cloud",Design,Graduate,2,UI/UX Designer
"Git, C++, Data Analysis, Linux, REST APIs, PyTorch","VS Code, Figma",Web Development,Undergraduate,7,Frontend Developer
"REST APIs, Docker, Node.js, Data Analysis, UI/UX","Postman, GitHub",Web Development,Postgraduate,8,Frontend Developer
"HTML, Power BI, AWS, Deep Learning, Tableau, REST APIs, PyTorch","Jira, AWS EC2",Design,Postgraduate,0,UI/UX Designer
"Power BI, Machine Learning, NLP, Docker","Postman, Azure Portal, AWS EC2",Cybersecurity,Graduate,10,Security Engineer
"Deep Learning, TensorFlow, UI/UX, Cybersecurity","AWS EC2, GitLab, Docker, Jupyter",Cloud,Undergraduate,9,Cloud Engineer
"REST APIs, Java, Machine Learning, Kubernetes, Azure","Jira, PyCharm, GitHub, Figma",IoT,Undergraduate,7,Embedded Systems Engineer
"Figma, TensorFlow, Cybersecurity, Deep Learning, Kubernetes, UI/UX, Node.js","Kubernetes, Jira, VS Code",Data Science,Graduate,0,Data Scientist
"Git, React, AWS, Deep Learning, Figma, Networking, Machine Learning","Postman, Azure Portal, Kubernetes, Docker",Web Development,Undergraduate,0,Backend Developer
"Tableau, PyTorch, Kubernetes, JavaScript, Networking, Data Analysis, Azure","Google Cloud, GitHub",Web Development,Postgraduate,5,Backend Developer
"Spark, Deep Learning, Data Analysis, Linux, React, PyTorch","Docker, AWS EC2",Design,Undergraduate,1,UI/UX Designer
"Cybersecurity, CSS, Power BI, Node.js, Azure, Spark, AWS","Postman, Kubernetes, Google Cloud, AWS EC2",Cloud,Undergraduate,1,DevOps Engineer
"TensorFlow, Docker, Power BI, REST APIs","Kubernetes, Google Cloud, Jira",Web Development,Undergraduate,2,Backend Developer
