,Skills,Tools,Interests,Education,Recommended Career,Recommended_Career
225,"ui/ux, pytorch, aws, python, node.js","docker, google cloud",cloud,graduate,DevOps Engineer,devops engineer
226,"c++, javascript, statistics, spark","aws ec2, vs code, docker, figma",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
227,"html, css, git, rest apis, tableau, deep learning, linux","jira, kubernetes, aws ec2",design,undergraduate,UI/UX Designer,ui/ux designer
228,"python, embedded systems, docker, spark, tableau","figma, postman, gitlab, kubernetes",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
229,"javascript, hadoop, cybersecurity, docker, tensorflow, html, ui/ux","google cloud, github, kubernetes, azure portal",cloud,postgraduate,DevOps Engineer,devops engineer
230,"data analysis, azure, aws, javascript, git","aws ec2, google cloud, jira",cybersecurity,graduate,Security Engineer,security engineer
231,"docker, spark, machine learning, html, networking","azure portal, gitlab, github",data science,undergraduate,Data Analyst,data analyst
232,"linux, tableau, azure, java, html, aws, javascript","azure portal, jupyter, kubernetes",cloud,postgraduate,DevOps Engineer,devops engineer
233,"java, node.js, networking, machine learning, cybersecurity, data analysis, git","docker, aws ec2, vs code",design,graduate,UI/UX Designer,ui/ux designer
234,"hadoop, linux, pytorch, git, embedded systems, tensorflow, data analysis","vs code, figma, aws ec2, pycharm",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
235,"embedded systems, azure, aws, html, deep learning, tableau","github, gitlab, kubernetes",ai/ml,graduate,AI Engineer,ai engineer
236,"linux, javascript, pytorch, power bi","azure portal, pycharm",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
237,"hadoop, javascript, spark, java","figma, jupyter, aws ec2, google cloud",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
238,"react, networking, figma, machine learning","azure portal, docker",cybersecurity,graduate,Security Engineer,security engineer
239,"hadoop, c++, git, html","gitlab, vs code, github",iot,graduate,Embedded Systems Engineer,embedded systems engineer
240,"hadoop, aws, spark, cybersecurity","github, pycharm, postman, jira",cloud,graduate,DevOps Engineer,devops engineer
241,"figma, html, azure, python","azure portal, postman",iot,graduate,Embedded Systems Engineer,embedded systems engineer
242,"c++, deep learning, rest apis, javascript","kubernetes, azure portal, google cloud, postman",cybersecurity,postgraduate,Security Engineer,security engineer
243,"power bi, tensorflow, azure, tableau, networking, hadoop, python","github, docker, google cloud",design,graduate,UI/UX Designer,ui/ux designer
244,"sql, networking, machine learning, c++, azure, pytorch","azure portal, vs code",web development,postgraduate,Backend Developer,backend developer
245,"statistics, html, pytorch, data analysis, kubernetes, python, figma","figma, kubernetes",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
246,"nlp, spark, git, tableau, data analysis, hadoop","pycharm, gitlab, google cloud",ai/ml,undergraduate,AI Engineer,ai engineer
247,"statistics, rest apis, figma, hadoop, spark, nlp, git","google cloud, figma, jira, azure portal",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
248,"hadoop, node.js, power bi, java, embedded systems, tensorflow","pycharm, github",cloud,postgraduate,Cloud Engineer,cloud engineer
249,"tableau, nlp, hadoop, node.js","gitlab, kubernetes, figma, pycharm",web development,undergraduate,Backend Developer,backend developer
250,"css, tensorflow, networking, deep learning, c++, docker","github, pycharm, gitlab, jupyter",web development,postgraduate,Frontend Developer,frontend developer
251,"figma, nlp, css, kubernetes, hadoop","figma, kubernetes",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
252,"deep learning, azure, machine learning, pytorch","figma, jira, postman, jupyter",cloud,postgraduate,Cloud Engineer,cloud engineer
253,"power bi, aws, javascript, docker, pytorch, react, sql","kubernetes, jupyter, docker",cybersecurity,undergraduate,Security Engineer,security engineer
254,"kubernetes, tensorflow, aws, java, azure, power bi, tableau","azure portal, jira, gitlab, github",web development,postgraduate,Backend Developer,backend developer
255,"embedded systems, aws, networking, python, machine learning","jira, aws ec2",web development,graduate,Frontend Developer,frontend developer
256,"kubernetes, javascript, node.js, react, linux","figma, kubernetes",design,undergraduate,UI/UX Designer,ui/ux designer
257,"linux, node.js, azure, hadoop, machine learning","figma, jupyter",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
258,"machine learning, power bi, c++, nlp, spark, python","gitlab, jira, vs code, google cloud",web development,undergraduate,Frontend Developer,frontend developer
259,"docker, embedded systems, azure, deep learning, rest apis","azure portal, aws ec2",cybersecurity,postgraduate,Security Engineer,security engineer
260,"rest apis, deep learning, cybersecurity, javascript, spark, tableau","gitlab, jira",cloud,graduate,Cloud Engineer,cloud engineer
261,"css, statistics, kubernetes, java, pytorch","pycharm, docker, kubernetes, aws ec2",data science,undergraduate,Data Analyst,data analyst
262,"javascript, kubernetes, python, spark, react, hadoop, azure","postman, docker, aws ec2, jupyter",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
263,"python, nlp, rest apis, ui/ux, tensorflow, java, node.js","google cloud, jira, aws ec2",design,graduate,UI/UX Designer,ui/ux designer
264,"statistics, aws, hadoop, node.js","google cloud, postman, azure portal",cloud,undergraduate,DevOps Engineer,devops engineer
265,"pytorch, aws, data analysis, ui/ux, sql, hadoop, networking","pycharm, vs code",cybersecurity,postgraduate,Security Engineer,security engineer
266,"node.js, spark, nlp, ui/ux, embedded systems, cybersecurity","postman, aws ec2, kubernetes, gitlab",ai/ml,undergraduate,AI Engineer,ai engineer
267,"react, git, cybersecurity, javascript, kubernetes","azure portal, jira",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
268,"react, spark, rest apis, cybersecurity, ui/ux","vs code, aws ec2, jira",design,postgraduate,UI/UX Designer,ui/ux designer
269,"kubernetes, aws, linux, css","docker, figma",web development,undergraduate,Frontend Developer,frontend developer
270,"networking, statistics, rest apis, aws, power bi, cybersecurity","pycharm, github, jupyter",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
271,"networking, html, figma, rest apis, node.js, sql","vs code, google cloud, github, aws ec2",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
272,"kubernetes, tableau, networking, deep learning, sql","github, gitlab, google cloud",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
273,"figma, python, data analysis, html, networking, git, cybersecurity","kubernetes, azure portal",design,undergraduate,UI/UX Designer,ui/ux designer
274,"kubernetes, cybersecurity, sql, docker, data analysis, css, spark","google cloud, jira",cloud,undergraduate,DevOps Engineer,devops engineer
275,"linux, react, c++, python, kubernetes","postman, figma, google cloud, kubernetes",data science,undergraduate,Data Analyst,data analyst
276,"networking, cybersecurity, tensorflow, c++, aws, git, ui/ux","aws ec2, pycharm",design,graduate,UI/UX Designer,ui/ux designer
277,"javascript, c++, spark, kubernetes","postman, pycharm, kubernetes, docker",web development,postgraduate,Frontend Developer,frontend developer
278,"rest apis, networking, nlp, sql, tableau, linux","kubernetes, aws ec2, gitlab, github",web development,undergraduate,Backend Developer,backend developer
279,"cybersecurity, css, statistics, react, sql, nlp, c++","docker, figma, vs code",data science,undergraduate,Data Analyst,data analyst
280,"git, react, html, java, python, networking, deep learning","figma, pycharm, github",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
281,"deep learning, java, tableau, figma","google cloud, docker",web development,graduate,Frontend Developer,frontend developer
282,"tensorflow, kubernetes, embedded systems, react, javascript, ui/ux","kubernetes, postman, pycharm, aws ec2",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
283,"rest apis, tableau, docker, ui/ux, spark, linux, node.js","vs code, jira, aws ec2",web development,undergraduate,Backend Developer,backend developer
284,"data analysis, aws, tensorflow, kubernetes, statistics, hadoop, figma","vs code, google cloud",data science,postgraduate,Data Analyst,data analyst
285,"cybersecurity, docker, machine learning, spark, embedded systems","google cloud, vs code, kubernetes",cloud,undergraduate,Cloud Engineer,cloud engineer
286,"git, docker, rest apis, nlp, sql","kubernetes, github, pycharm, aws ec2",iot,graduate,Embedded Systems Engineer,embedded systems engineer
287,"ui/ux, machine learning, tensorflow, cybersecurity, azure, deep learning","figma, google cloud",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
288,"deep learning, sql, rest apis, ui/ux, azure","vs code, jupyter, figma",data science,postgraduate,Data Analyst,data analyst
289,"pytorch, networking, machine learning, azure, ui/ux, git, spark","gitlab, kubernetes",web development,undergraduate,Backend Developer,backend developer
290,"networking, react, cybersecurity, node.js","google cloud, vs code",design,postgraduate,UI/UX Designer,ui/ux designer
291,"aws, sql, networking, pytorch, power bi, css","github, gitlab, pycharm, postman",data science,postgraduate,Data Analyst,data analyst
292,"node.js, c++, tableau, kubernetes, nlp","github, docker, vs code",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
293,"c++, cybersecurity, tensorflow, python","google cloud, jupyter, github, azure portal",web development,graduate,Backend Developer,backend developer
294,"deep learning, cybersecurity, node.js, javascript, sql, tensorflow","jupyter, google cloud, postman",ai/ml,graduate,AI Engineer,ai engineer
295,"css, rest apis, hadoop, tensorflow, data analysis, power bi, machine learning","aws ec2, gitlab",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
296,"pytorch, java, azure, spark","azure portal, postman, google cloud, vs code",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
297,"cybersecurity, power bi, hadoop, python","pycharm, jira, figma",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
298,"tableau, figma, machine learning, pytorch","pycharm, aws ec2, azure portal, kubernetes",data science,postgraduate,Data Scientist,data scientist
299,"networking, c++, cybersecurity, rest apis, power bi, nlp","vs code, azure portal, figma, docker",design,postgraduate,UI/UX Designer,ui/ux designer
300,"spark, c++, rest apis, react, java, python, pytorch","kubernetes, vs code, docker",web development,undergraduate,Frontend Developer,frontend developer
301,"hadoop, rest apis, html, azure, react","docker, github, gitlab",ai/ml,postgraduate,AI Engineer,ai engineer
302,"react, machine learning, spark, c++, aws","jupyter, figma, google cloud",ai/ml,graduate,AI Engineer,ai engineer
303,"cybersecurity, rest apis, embedded systems, networking, deep learning, java","docker, google cloud",cloud,undergraduate,DevOps Engineer,devops engineer
304,"docker, react, deep learning, tensorflow, networking, data analysis","azure portal, google cloud, pycharm",ai/ml,graduate,AI Engineer,ai engineer
305,"react, docker, cybersecurity, git, c++, machine learning, hadoop","pycharm, github",design,undergraduate,UI/UX Designer,ui/ux designer
306,"deep learning, aws, kubernetes, tensorflow, tableau","github, gitlab",web development,graduate,Frontend Developer,frontend developer
307,"git, kubernetes, azure, embedded systems, python","github, azure portal",web development,graduate,Frontend Developer,frontend developer
308,"html, sql, nlp, figma, javascript, networking, node.js","docker, gitlab",web development,graduate,Backend Developer,backend developer
309,"hadoop, python, embedded systems, javascript","figma, github, google cloud, pycharm",data science,undergraduate,Data Scientist,data scientist
310,"kubernetes, cybersecurity, spark, power bi, ui/ux","jupyter, figma, postman, jira",ai/ml,postgraduate,AI Engineer,ai engineer
311,"tableau, git, linux, aws, python","google cloud, kubernetes, pycharm",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
312,"data analysis, git, docker, azure, power bi, linux, react","postman, aws ec2",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
313,"linux, html, tableau, deep learning, rest apis","jira, github",cloud,undergraduate,Cloud Engineer,cloud engineer
314,"kubernetes, tensorflow, figma, deep learning, docker, git","docker, postman, github",data science,graduate,Data Analyst,data analyst
